x,y
0.193623207,40.50863584
-0.593595309,77.32233558
0.409529378,35.60267802
-0.699481243,73.9828116
0.496729265,39.69722361
0.956776095,91.39378025
-0.654583189,80.7982713
0.770454193,85.64192416
0.48991321,39.15205647
0.696347777,99.22266565
0.587822989,82.07781184
-0.561360161,80.35123434
-0.420131274,21.26034724
-0.487225826,16.15441628
-0.000689614,16.85320857
-0.58345023,86.5501733
0.742161239,90.57325915
0.175491656,42.42355551
0.767765074,82.92459256
0.359488889,40.304388
-0.972441748,76.25946243
0.789767588,81.1926882
-0.545562458,81.70513505
0.485353502,32.41685603
0.421939569,40.42379112
0.461554496,29.65486764
-0.87164976,78.34048045
-0.195674547,27.45621365
0.20217231,30.97970727
-0.683616523,83.03434194
-0.870311248,75.75049104
0.552349191,95.43576082
-0.631901979,73.97639754
0.466994113,44.87319443
-0.967861885,82.07190906
-0.551632457,80.28379602
-0.19315369,18.20757897
0.944535409,100.5107512
-0.754445077,65.03451324
0.768933006,89.1698831
0.194578076,46.00476303
0.31296625,39.80918527
-0.343475309,15.30704087
-0.106470455,14.84359141
0.881505474,105.0515267
0.83325063,88.22472894
0.518149645,94.81692841
-0.235096706,18.88201835
-0.217063848,24.83597777
-0.499651084,22.0430614
