x,y
-0.024476153,25.95534228
0.082829367,28.45128668
0.570086013,85.01526859
0.616509015,93.25913227
-0.055621893,26.56768274
-0.979471266,82.69387409
-0.015679579,25.24395841
0.069023782,33.94640528
-0.33519417,27.58594031
-0.985188152,82.62340909
0.792474874,88.67362925
0.80936891,92.22407319
-0.708660085,75.17555016
-0.013758317,18.07707236
-0.97171576,77.44373339
0.322679503,35.33817503
-0.250733633,23.40395025
-0.932430008,81.07916969
0.863316319,92.5609712
-0.570390161,84.21186463
0.464440079,41.24770229
-0.003973371,19.55101261
-0.100276422,14.21764795
-0.250923748,14.2687024
0.606669167,90.08299172
-0.058304675,15.40176955
-0.009042424,16.3812185
-0.451812186,23.49821006
0.815665946,96.08038167
-0.668360774,71.12447387
0.890880604,92.7095405
-0.773775854,79.85502063
-0.839706049,80.2058013
0.065462317,39.64904202
-0.751642781,80.44007431
-0.133533838,28.61936255
0.954637839,86.4963347
-0.185490929,19.36763113
-0.510211762,78.71354066
-0.530489669,80.07489853
-0.007323886,12.29934186
0.670090433,80.58061002
-0.814977075,81.93463197
0.720301392,87.17044977
-0.50138838,87.86027174
0.726801678,82.68850684
0.955734592,91.25066136
-0.022333185,24.16061356
0.35982378,35.27016886
0.077118599,39.47471893
