x,y
0.445133086,80.81678163
0.051950974,25.80947101
0.09158834,14.66842369
0.741821678,37.08715818
-0.550924426,74.09278303
0.523170128,77.83264899
-0.597348093,67.13894516
0.064890098,29.87962302
-0.868200799,25.61306092
0.818236,36.69213076
-0.718296094,48.95723491
0.057384277,12.64341858
0.429127037,69.42457973
-0.709734793,78.32711849
0.063151824,8.681073552
-0.490466874,73.91347087
0.586523276,74.24612138
0.377571033,66.40678681
-0.760145695,49.47498005
-0.285066092,53.6079204
0.144931451,31.07069427
0.77269311,57.83957809
0.456092841,78.38327964
0.876411134,36.02202532
-0.353488343,80.80574262
-0.594496577,89.06430563
-0.014233649,-7.853646436
-0.28108388,45.14714564
0.838130855,41.08528578
-0.437652077,73.11474614
-0.922808833,16.65692531
0.558303667,80.51588751
0.893009766,27.98211352
0.170796286,41.16036466
0.729050762,60.8833952
-0.881804859,29.38004703
-0.096765985,28.31664668
0.601969298,73.44914153
-0.401790235,68.44263669
0.400942243,58.47660887
-0.475448734,69.95213884
-0.735744527,27.52527863
-0.932136477,14.92440952
-0.45167189,85.06040447
-0.342619521,48.98008957
-0.365372106,51.56345595
-0.174354614,25.88904267
0.876876686,-2.153533733
0.489309045,88.47953492
0.405423217,86.82977365
